Name;New_Measure_03-09-2020;
Description;;
Measure-Intervall;00:00:00.0100000;
;;

Time SN:62242 (S30X):P1;SN:62242 (S30X):P1 bar;Time SN:62242 (S30X):TOB1;SN:62242 (S30X):TOB1 °C;
03.09.2020 15:35:41.196;0.1715025;03.09.2020 15:35:41.228;12.6779785;
03.09.2020 15:35:41.260;0.1712362;03.09.2020 15:35:41.292;12.6779785;
03.09.2020 15:35:41.324;0.1715025;03.09.2020 15:35:41.356;12.6779785;
03.09.2020 15:35:41.387;0.1715912;03.09.2020 15:35:41.419;12.6779785;
03.09.2020 15:35:41.451;0.1717685;03.09.2020 15:35:41.483;12.6779785;
03.09.2020 15:35:41.515;0.1715025;03.09.2020 15:35:41.547;12.6779785;
03.09.2020 15:35:41.579;0.1714138;03.09.2020 15:35:41.611;12.6779785;
03.09.2020 15:35:41.643;0.1713248;03.09.2020 15:35:41.675;12.6779785;
03.09.2020 15:35:41.706;0.1714138;03.09.2020 15:35:41.738;12.6779785;
03.09.2020 15:35:41.770;0.1711472;03.09.2020 15:35:41.802;12.6779785;
03.09.2020 15:35:41.834;0.1714138;03.09.2020 15:35:41.866;12.6779785;
03.09.2020 15:35:41.898;0.1717685;03.09.2020 15:35:41.930;12.6779785;
03.09.2020 15:35:41.961;0.1720346;03.09.2020 15:35:41.993;12.6779785;
03.09.2020 15:35:42.025;0.1720346;03.09.2020 15:35:42.057;12.6779785;
03.09.2020 15:35:42.089;0.1719459;03.09.2020 15:35:42.121;12.6779785;
03.09.2020 15:35:42.153;0.1720346;03.09.2020 15:35:42.185;12.6779785;
03.09.2020 15:35:42.217;0.1714138;03.09.2020 15:35:42.249;12.6779785;
03.09.2020 15:35:42.282;0.1716799;03.09.2020 15:35:42.312;12.6779785;
03.09.2020 15:35:42.344;0.1722122;03.09.2020 15:35:42.376;12.6779785;
03.09.2020 15:35:42.408;0.1718572;03.09.2020 15:35:42.440;12.6779785;
03.09.2020 15:35:42.472;0.1717685;03.09.2020 15:35:42.504;12.6779785;
03.09.2020 15:35:42.536;0.1716799;03.09.2020 15:35:42.568;12.6779785;
03.09.2020 15:35:42.599;0.1716799;03.09.2020 15:35:42.631;12.6779785;
03.09.2020 15:35:42.663;0.1720346;03.09.2020 15:35:42.695;12.6779785;
03.09.2020 15:35:42.727;0.1717685;03.09.2020 15:35:42.759;12.6779785;
03.09.2020 15:35:42.791;0.1720346;03.09.2020 15:35:42.823;12.6779785;
03.09.2020 15:35:42.855;0.1717685;03.09.2020 15:35:42.887;12.6779785;
03.09.2020 15:35:42.918;0.1718572;03.09.2020 15:35:42.950;12.6779785;
03.09.2020 15:35:42.982;0.1718572;03.09.2020 15:35:43.014;12.6779785;
03.09.2020 15:35:43.046;0.1717685;03.09.2020 15:35:43.078;12.6779785;
03.09.2020 15:35:43.110;0.1718572;03.09.2020 15:35:43.142;12.6779785;
03.09.2020 15:35:43.174;0.1720346;03.09.2020 15:35:43.206;12.6779785;
03.09.2020 15:35:43.237;0.1719459;03.09.2020 15:35:43.269;12.6779785;
03.09.2020 15:35:43.301;0.1720346;03.09.2020 15:35:43.333;12.6779785;
03.09.2020 15:35:43.365;0.1721233;03.09.2020 15:35:43.397;12.6779785;
03.09.2020 15:35:43.429;0.1720346;03.09.2020 15:35:43.461;12.6779785;
03.09.2020 15:35:43.493;0.1720346;03.09.2020 15:35:43.524;12.6779785;
03.09.2020 15:35:43.556;0.1722122;03.09.2020 15:35:43.588;12.6779785;
03.09.2020 15:35:43.620;0.1716799;03.09.2020 15:35:43.652;12.6779785;
03.09.2020 15:35:43.684;0.1716799;03.09.2020 15:35:43.716;12.6779785;
03.09.2020 15:35:43.748;0.1715912;03.09.2020 15:35:43.780;12.6779785;
03.09.2020 15:35:43.812;0.1715025;03.09.2020 15:35:43.843;12.6779785;
03.09.2020 15:35:43.875;0.1718572;03.09.2020 15:35:43.907;12.6779785;
03.09.2020 15:35:43.939;0.1716799;03.09.2020 15:35:43.971;12.6779785;
03.09.2020 15:35:44.003;0.1715025;03.09.2020 15:35:44.035;12.6779785;
03.09.2020 15:35:44.067;0.1715912;03.09.2020 15:35:44.099;12.6779785;
03.09.2020 15:35:44.130;0.1716799;03.09.2020 15:35:44.162;12.6779785;
03.09.2020 15:35:44.194;0.1713248;03.09.2020 15:35:44.226;12.6779785;
03.09.2020 15:35:44.258;0.1717685;03.09.2020 15:35:44.290;12.6779785;
03.09.2020 15:35:44.322;0.1721233;03.09.2020 15:35:44.354;12.6779785;
03.09.2020 15:35:44.386;0.1713248;03.09.2020 15:35:44.418;12.6779785;
03.09.2020 15:35:44.449;0.1715025;03.09.2020 15:35:44.481;12.6779785;
03.09.2020 15:35:44.513;0.1714138;03.09.2020 15:35:44.545;12.6779785;
03.09.2020 15:35:44.577;0.1713248;03.09.2020 15:35:44.609;12.6779785;
03.09.2020 15:35:44.641;0.1715025;03.09.2020 15:35:44.673;12.6779785;
03.09.2020 15:35:44.705;0.1716799;03.09.2020 15:35:44.736;12.6779785;
03.09.2020 15:35:44.768;0.1714138;03.09.2020 15:35:44.800;12.6779785;
03.09.2020 15:35:44.832;0.1718572;03.09.2020 15:35:44.864;12.6779785;
03.09.2020 15:35:44.896;0.1722122;03.09.2020 15:35:44.928;12.6779785;
03.09.2020 15:35:44.960;0.1719459;03.09.2020 15:35:44.992;12.6779785;
03.09.2020 15:35:45.024;0.1721233;03.09.2020 15:35:45.055;12.6779785;
03.09.2020 15:35:45.087;0.1720346;03.09.2020 15:35:45.119;12.6779785;
03.09.2020 15:35:45.151;0.1721233;03.09.2020 15:35:45.183;12.6779785;
03.09.2020 15:35:45.215;0.1717685;03.09.2020 15:35:45.247;12.6779785;
03.09.2020 15:35:45.279;0.1714138;03.09.2020 15:35:45.311;12.6779785;
03.09.2020 15:35:45.342;0.1718572;03.09.2020 15:35:45.374;12.6779785;
03.09.2020 15:35:45.406;0.1717685;03.09.2020 15:35:45.438;12.6779785;
03.09.2020 15:35:45.470;0.1719459;03.09.2020 15:35:45.502;12.6779785;
03.09.2020 15:35:45.534;0.1721233;03.09.2020 15:35:45.566;12.6779785;
03.09.2020 15:35:45.598;0.1720346;03.09.2020 15:35:45.630;12.6779785;
03.09.2020 15:35:45.661;0.1719459;03.09.2020 15:35:45.693;12.6779785;
03.09.2020 15:35:45.725;0.1715912;03.09.2020 15:35:45.757;12.6779785;
03.09.2020 15:35:45.789;0.1717685;03.09.2020 15:35:45.821;12.6779785;
03.09.2020 15:35:45.853;0.1716799;03.09.2020 15:35:45.886;12.6779785;
03.09.2020 15:35:45.917;0.1714138;03.09.2020 15:35:45.948;12.6779785;
03.09.2020 15:35:45.980;0.1714138;03.09.2020 15:35:46.012;12.6779785;
03.09.2020 15:35:46.044;0.1720346;03.09.2020 15:35:46.076;12.6672363;
03.09.2020 15:35:46.108;0.1720082;03.09.2020 15:35:46.140;12.6672363;
03.09.2020 15:35:46.172;0.1720082;03.09.2020 15:35:46.204;12.6672363;
03.09.2020 15:35:46.236;0.1720968;03.09.2020 15:35:46.267;12.6672363;
03.09.2020 15:35:46.299;0.1720082;03.09.2020 15:35:46.331;12.6672363;
03.09.2020 15:35:46.363;0.1720082;03.09.2020 15:35:46.395;12.6672363;
03.09.2020 15:35:46.427;0.1719195;03.09.2020 15:35:46.459;12.6672363;
03.09.2020 15:35:46.491;0.1719195;03.09.2020 15:35:46.523;12.6672363;
03.09.2020 15:35:46.555;0.1719195;03.09.2020 15:35:46.586;12.6672363;
03.09.2020 15:35:46.618;0.1720082;03.09.2020 15:35:46.650;12.6672363;
03.09.2020 15:35:46.682;0.1715645;03.09.2020 15:35:46.714;12.6672363;
03.09.2020 15:35:46.746;0.1715645;03.09.2020 15:35:46.778;12.6672363;
03.09.2020 15:35:46.810;0.1719195;03.09.2020 15:35:46.842;12.6672363;
03.09.2020 15:35:46.873;0.1719195;03.09.2020 15:35:46.905;12.6672363;
03.09.2020 15:35:46.937;0.1719195;03.09.2020 15:35:46.969;12.6672363;
03.09.2020 15:35:47.001;0.1720082;03.09.2020 15:35:47.033;12.6672363;
03.09.2020 15:35:47.065;0.1720968;03.09.2020 15:35:47.097;12.6672363;
03.09.2020 15:35:47.129;0.1718305;03.09.2020 15:35:47.161;12.6672363;
03.09.2020 15:35:47.192;0.1717418;03.09.2020 15:35:47.224;12.6672363;
03.09.2020 15:35:47.256;0.1715645;03.09.2020 15:35:47.288;12.6672363;
03.09.2020 15:35:47.320;0.1716532;03.09.2020 15:35:47.352;12.6672363;
03.09.2020 15:35:47.384;0.1713868;03.09.2020 15:35:47.416;12.6672363;
03.09.2020 15:35:47.448;0.1716532;03.09.2020 15:35:47.479;12.6672363;
03.09.2020 15:35:47.511;0.1719195;03.09.2020 15:35:47.543;12.6672363;
03.09.2020 15:35:47.575;0.1718305;03.09.2020 15:35:47.607;12.6672363;
03.09.2020 15:35:47.639;0.1718305;03.09.2020 15:35:47.671;12.6672363;
03.09.2020 15:35:47.703;0.1719195;03.09.2020 15:35:47.735;12.6672363;
03.09.2020 15:35:47.767;0.1719195;03.09.2020 15:35:47.798;12.6672363;
03.09.2020 15:35:47.830;0.1718305;03.09.2020 15:35:47.862;12.6672363;
03.09.2020 15:35:47.894;0.1718305;03.09.2020 15:35:47.926;12.6672363;
03.09.2020 15:35:47.958;0.1719195;03.09.2020 15:35:47.990;12.6672363;
03.09.2020 15:35:48.022;0.1717418;03.09.2020 15:35:48.054;12.6672363;
03.09.2020 15:35:48.085;0.1719195;03.09.2020 15:35:48.117;12.6672363;
03.09.2020 15:35:48.149;0.1719195;03.09.2020 15:35:48.181;12.6672363;
03.09.2020 15:35:48.213;0.1718305;03.09.2020 15:35:48.245;12.6672363;
03.09.2020 15:35:48.277;0.1717418;03.09.2020 15:35:48.309;12.6672363;
03.09.2020 15:35:48.341;0.1715645;03.09.2020 15:35:48.373;12.6672363;
03.09.2020 15:35:48.404;0.1714755;03.09.2020 15:35:48.436;12.6672363;
03.09.2020 15:35:48.468;0.1713868;03.09.2020 15:35:48.500;12.6672363;
03.09.2020 15:35:48.532;0.1714755;03.09.2020 15:35:48.564;12.6672363;
03.09.2020 15:35:48.596;0.1714755;03.09.2020 15:35:48.628;12.6672363;
03.09.2020 15:35:48.660;0.1713868;03.09.2020 15:35:48.691;12.6672363;
03.09.2020 15:35:48.723;0.1714755;03.09.2020 15:35:48.755;12.6672363;
03.09.2020 15:35:48.787;0.1715645;03.09.2020 15:35:48.819;12.6672363;
03.09.2020 15:35:48.851;0.1718305;03.09.2020 15:35:48.883;12.6672363;
03.09.2020 15:35:48.915;0.1714755;03.09.2020 15:35:48.947;12.6672363;
03.09.2020 15:35:48.979;0.1716532;03.09.2020 15:35:49.010;12.6672363;
03.09.2020 15:35:49.042;0.1720968;03.09.2020 15:35:49.074;12.6672363;
03.09.2020 15:35:49.106;0.1719195;03.09.2020 15:35:49.138;12.6672363;
03.09.2020 15:35:49.170;0.1719195;03.09.2020 15:35:49.202;12.6672363;
03.09.2020 15:35:49.234;0.1713868;03.09.2020 15:35:49.266;12.6672363;
03.09.2020 15:35:49.297;0.1713868;03.09.2020 15:35:49.329;12.6672363;
03.09.2020 15:35:49.361;0.1712981;03.09.2020 15:35:49.393;12.6672363;
03.09.2020 15:35:49.425;0.1717418;03.09.2020 15:35:49.457;12.6672363;
03.09.2020 15:35:49.489;0.1713868;03.09.2020 15:35:49.521;12.6672363;
03.09.2020 15:35:49.553;0.1712095;03.09.2020 15:35:49.585;12.6672363;
03.09.2020 15:35:49.616;0.1717418;03.09.2020 15:35:49.648;12.6672363;
03.09.2020 15:35:49.680;0.1717418;03.09.2020 15:35:49.712;12.6672363;
03.09.2020 15:35:49.744;0.1715645;03.09.2020 15:35:49.776;12.6672363;
03.09.2020 15:35:49.808;0.1717418;03.09.2020 15:35:49.840;12.6672363;
03.09.2020 15:35:49.872;0.1720082;03.09.2020 15:35:49.903;12.6672363;
03.09.2020 15:35:49.935;0.1719195;03.09.2020 15:35:49.967;12.6672363;
03.09.2020 15:35:49.999;0.1719195;03.09.2020 15:35:50.031;12.6672363;
03.09.2020 15:35:50.063;0.1720968;03.09.2020 15:35:50.095;12.6672363;
03.09.2020 15:35:50.127;0.1720082;03.09.2020 15:35:50.159;12.6672363;
03.09.2020 15:35:50.191;0.1720082;03.09.2020 15:35:50.222;12.6672363;
03.09.2020 15:35:50.254;0.1720082;03.09.2020 15:35:50.286;12.6672363;
